model,keypoint_idx,keypoint_name,mean_confidence,std_confidence,mean_jitter,p95_jitter,missing_ratio
old,0,Nose,0.8653,0.2612,6.448,21.974,0.0447
old,1,Left_Ear,0.9697,0.0511,7.635,26.096,0.0003
old,2,Right_Ear,0.9451,0.0772,7.967,26.466,0.0003
old,3,Chest,0.9965,0.0145,4.890,15.433,0.0000
old,4,Mid_Back,0.9982,0.0047,4.420,16.270,0.0000
old,5,Hip,0.9985,0.0145,4.550,15.198,0.0000
old,6,LF_Elbow,0.9745,0.1207,6.480,24.320,0.0121
old,7,LF_Paw,0.9582,0.1367,10.700,44.555,0.0124
old,8,RF_Elbow,0.9818,0.0894,6.297,24.948,0.0018
old,9,RF_Paw,0.9492,0.1476,10.257,45.101,0.0130
old,10,LH_Knee,0.9516,0.1960,5.997,23.801,0.0337
old,11,LH_Paw,0.9635,0.1362,11.319,47.354,0.0126
old,12,RH_Knee,0.9940,0.0316,6.382,26.799,0.0006
old,13,RH_Paw,0.9801,0.0686,11.004,50.430,0.0017
old,14,Tail_Root,0.9868,0.0943,4.905,16.701,0.0071
old,15,Tail_Mid,0.9733,0.1369,5.733,20.142,0.0127
old,16,Tail_Tip,0.8812,0.2183,8.023,29.313,0.0296
new,0,Nose,0.8946,0.2458,6.429,22.544,0.0439
new,1,Left_Ear,0.9758,0.0417,7.040,25.190,0.0005
new,2,Right_Ear,0.9645,0.0463,7.092,24.544,0.0002
new,3,Chest,0.9983,0.0063,4.495,15.603,0.0000
new,4,Mid_Back,0.9987,0.0031,4.485,16.492,0.0000
new,5,Hip,0.9982,0.0192,4.345,15.301,0.0000
new,6,LF_Elbow,0.9937,0.0291,5.973,24.532,0.0000
new,7,LF_Paw,0.9748,0.0841,9.956,42.168,0.0000
new,8,RF_Elbow,0.9973,0.0071,6.042,23.529,0.0000
new,9,RF_Paw,0.9577,0.1106,9.740,42.724,0.0037
new,10,LH_Knee,0.9583,0.1686,5.824,23.021,0.0140
new,11,LH_Paw,0.9600,0.1416,10.806,44.853,0.0129
new,12,RH_Knee,0.9954,0.0376,5.981,25.281,0.0008
new,13,RH_Paw,0.9822,0.0656,10.705,47.723,0.0015
new,14,Tail_Root,0.9854,0.0966,4.690,17.121,0.0069
new,15,Tail_Mid,0.9687,0.1422,5.645,20.937,0.0129
new,16,Tail_Tip,0.8744,0.2408,8.238,28.269,0.0523
