model,behavior,video_name,frames,frames_with_cat,frames_without_cat,mean_confidence,std_confidence,mean_jitter_px,std_jitter_px,p95_jitter_px,max_jitter_px,missing_ratio,nose_missing_ratio,paw_missing_ratio,tail_missing_ratio
old,walk,walk_12.mp4,225,225,0,0.9889,0.0073,11.032,18.097,41.483,176.793,0.0000,0.0000,0.0000,0.0000
old,walk,walk_18.mp4,244,234,10,0.9457,0.0340,32.650,52.224,106.409,705.661,0.0410,0.7393,0.0128,0.4074
old,walk,walk_24.mp4,176,176,0,0.9792,0.0087,7.288,7.691,21.123,103.037,0.0000,0.0000,0.0000,0.0170
old,walk,walk_29.mp4,590,590,0,0.9814,0.0090,13.059,15.161,38.324,212.589,0.0000,0.0000,0.0000,0.0000
old,lick,7月3日(1).mp4,135,135,0,0.9892,0.0012,2.809,3.642,10.676,26.853,0.0000,0.0000,0.0000,0.0000
old,lick,7月3日(2).mp4,156,156,0,0.9970,0.0003,2.334,2.831,8.094,21.226,0.0000,0.0000,0.0000,0.0000
old,lick,7月3日(3).mp4,121,121,0,0.9975,0.0002,2.350,2.855,7.579,31.990,0.0000,0.0000,0.0000,0.0000
old,lick,7月3日(4).mp4,147,147,0,0.9896,0.0019,2.013,2.510,6.672,23.016,0.0000,0.0000,0.0000,0.0000
old,lick,7月3日.mp4,139,139,0,0.9764,0.0072,3.496,4.471,11.864,44.543,0.0000,0.0000,0.0000,0.0000
old,scratch,7月3日 (2)(1).mp4,155,155,0,0.9670,0.0138,5.951,9.545,21.628,145.881,0.0000,0.0000,0.0000,0.0194
old,scratch,7月3日 (2)(2).mp4,109,109,0,0.9874,0.0035,7.194,12.055,26.972,133.918,0.0000,0.0000,0.0000,0.0000
old,scratch,7月3日 (2)(3).mp4,154,154,0,0.9948,0.0012,5.285,8.826,20.389,108.214,0.0000,0.0000,0.0000,0.0000
old,scratch,7月3日 (2)(4).mp4,142,142,0,0.9803,0.0149,5.292,10.822,21.269,203.773,0.0000,0.0000,0.0000,0.0000
old,scratch,7月3日 (2).mp4,177,177,0,0.9930,0.0023,5.694,8.712,18.298,152.149,0.0000,0.0000,0.0000,0.0000
old,shake,7月3日(1).mp4,34,34,0,0.9947,0.0041,12.688,18.383,46.908,127.881,0.0000,0.0000,0.0000,0.0000
old,shake,7月3日(2).mp4,19,19,0,0.9973,0.0018,14.497,19.488,42.619,153.691,0.0000,0.0000,0.0000,0.0000
old,shake,7月3日(3).mp4,20,20,0,0.9647,0.0068,20.407,32.940,110.459,178.004,0.0000,0.0000,0.0000,0.0000
old,shake,7月3日(4).mp4,33,33,0,0.9955,0.0016,7.802,9.144,23.320,61.227,0.0000,0.0000,0.0000,0.0000
old,shake,7月3日(5).mp4,34,34,0,0.9837,0.0097,11.449,15.158,41.006,149.369,0.0000,0.0000,0.0000,0.0000
old,shake,7月3日.mp4,26,26,0,0.9978,0.0011,16.188,22.899,63.494,147.418,0.0000,0.0000,0.0000,0.0000
old,stop,stop_2.mp4,397,397,0,0.9803,0.0115,5.252,11.876,19.598,315.577,0.0000,0.4685,0.0000,0.0008
old,stop,stop_3.mp4,248,248,0,0.9677,0.0077,2.228,3.469,6.192,70.747,0.0000,0.0000,0.0000,0.0000
old,stop,stop_36.mp4,50,50,0,0.9933,0.0007,0.904,1.669,3.293,18.506,0.0000,0.0000,0.0000,0.0000
old,stop,stop_48.mp4,55,55,0,0.9918,0.0016,1.981,5.187,6.527,69.904,0.0000,0.0000,0.0000,0.0000
old,stop,stop_6.mp4,285,285,0,0.9983,0.0001,0.418,0.405,1.144,4.479,0.0000,0.0000,0.0000,0.0000
old,stop,stop_71.mp4,92,92,0,0.9963,0.0004,2.017,3.692,8.515,39.213,0.0000,0.0000,0.0000,0.0000
old,stop,stop_75.mp4,230,230,0,0.8571,0.0238,1.706,3.199,5.575,64.398,0.0000,0.0000,0.2554,0.0000
new,walk,walk_12.mp4,225,225,0,0.9910,0.0077,11.324,18.989,41.497,232.736,0.0000,0.0000,0.0000,0.0000
new,walk,walk_18.mp4,244,227,17,0.9411,0.0348,27.886,37.844,88.478,510.284,0.0697,0.7357,0.0165,0.4038
new,walk,walk_24.mp4,176,176,0,0.9809,0.0118,7.356,7.799,21.655,115.489,0.0000,0.0000,0.0000,0.0360
new,walk,walk_29.mp4,590,590,0,0.9896,0.0047,12.940,15.141,36.869,277.611,0.0000,0.0000,0.0000,0.0000
new,lick,7月3日(1).mp4,135,135,0,0.9956,0.0007,2.205,3.016,8.112,26.319,0.0000,0.0000,0.0000,0.0000
new,lick,7月3日(2).mp4,156,156,0,0.9973,0.0003,1.891,2.535,6.905,20.328,0.0000,0.0000,0.0000,0.0000
new,lick,7月3日(3).mp4,121,121,0,0.9980,0.0001,2.471,2.921,7.909,29.801,0.0000,0.0000,0.0000,0.0000
new,lick,7月3日(4).mp4,147,147,0,0.9949,0.0006,2.383,3.670,8.409,30.947,0.0000,0.0000,0.0000,0.0000
new,lick,7月3日.mp4,139,139,0,0.9896,0.0011,3.086,3.579,10.292,23.672,0.0000,0.0000,0.0000,0.0000
new,scratch,7月3日 (2)(1).mp4,155,155,0,0.9689,0.0150,5.721,9.355,21.686,164.119,0.0000,0.0000,0.0000,0.1720
new,scratch,7月3日 (2)(2).mp4,109,109,0,0.9742,0.0081,6.543,12.271,24.866,154.694,0.0000,0.0000,0.0000,0.0000
new,scratch,7月3日 (2)(3).mp4,154,154,0,0.9954,0.0023,5.534,9.265,22.064,152.804,0.0000,0.0000,0.0000,0.0000
new,scratch,7月3日 (2)(4).mp4,142,142,0,0.9750,0.0139,4.927,11.056,20.253,249.643,0.0000,0.0000,0.0000,0.0000
new,scratch,7月3日 (2).mp4,177,177,0,0.9974,0.0010,5.738,9.432,18.931,195.089,0.0000,0.0000,0.0000,0.0000
new,shake,7月3日(1).mp4,34,34,0,0.9965,0.0023,12.332,17.890,49.362,145.229,0.0000,0.0000,0.0000,0.0000
new,shake,7月3日(2).mp4,19,19,0,0.9959,0.0027,13.680,20.174,51.152,136.813,0.0000,0.0000,0.0000,0.0000
new,shake,7月3日(3).mp4,20,20,0,0.9661,0.0337,19.022,30.556,90.380,170.723,0.0000,0.0000,0.0250,0.0000
new,shake,7月3日(4).mp4,33,33,0,0.9940,0.0024,8.324,10.731,28.754,75.997,0.0000,0.0000,0.0000,0.0000
new,shake,7月3日(5).mp4,34,34,0,0.9867,0.0112,11.751,17.959,47.118,158.602,0.0000,0.0000,0.0000,0.0000
new,shake,7月3日.mp4,26,26,0,0.9953,0.0012,14.840,22.448,58.923,157.828,0.0000,0.0000,0.0000,0.0000
new,stop,stop_2.mp4,397,397,0,0.9866,0.0106,4.795,10.363,17.661,246.943,0.0000,0.4509,0.0000,0.0361
new,stop,stop_3.mp4,248,248,0,0.9783,0.0082,2.755,4.440,8.418,117.427,0.0000,0.0000,0.0000,0.0000
new,stop,stop_36.mp4,50,50,0,0.9973,0.0000,0.807,1.682,2.676,25.637,0.0000,0.0000,0.0000,0.0000
new,stop,stop_48.mp4,55,55,0,0.9904,0.0063,2.264,5.694,10.071,78.423,0.0000,0.0000,0.0000,0.0000
new,stop,stop_6.mp4,285,285,0,0.9984,0.0000,0.543,0.578,1.566,10.940,0.0000,0.0000,0.0000,0.0000
new,stop,stop_71.mp4,92,92,0,0.9967,0.0002,1.634,3.028,6.280,33.548,0.0000,0.0000,0.0000,0.0000
new,stop,stop_75.mp4,230,230,0,0.8788,0.0097,2.632,4.885,8.939,92.643,0.0000,0.0000,0.0804,0.0000
