model,keypoint_idx,keypoint_name,mean_confidence,std_confidence,mean_jitter,p95_jitter,missing_ratio
old,0,Nose,0.8858,0.2351,6.117,22.480,0.0389
old,1,Left_Ear,0.9673,0.0631,6.734,25.461,0.0002
old,2,Right_Ear,0.9577,0.0656,6.908,24.279,0.0002
old,3,Chest,0.9984,0.0040,4.150,14.927,0.0000
old,4,Mid_Back,0.9985,0.0041,4.176,15.361,0.0000
old,5,Hip,0.9985,0.0160,3.960,14.755,0.0000
old,6,LF_Elbow,0.9907,0.0484,5.517,23.259,0.0000
old,7,LF_Paw,0.9868,0.0351,9.043,39.566,0.0000
old,8,RF_Elbow,0.9955,0.0170,5.548,23.272,0.0000
old,9,RF_Paw,0.9741,0.0606,8.903,39.467,0.0000
old,10,LH_Knee,0.9600,0.1724,5.218,21.426,0.0216
old,11,LH_Paw,0.9659,0.1258,9.796,41.686,0.0050
old,12,RH_Knee,0.9945,0.0303,5.466,22.663,0.0005
old,13,RH_Paw,0.9804,0.0681,9.544,42.470,0.0016
old,14,Tail_Root,0.9882,0.0847,4.533,15.989,0.0059
old,15,Tail_Mid,0.9678,0.1367,5.668,20.277,0.0131
old,16,Tail_Tip,0.8469,0.2603,8.560,30.946,0.0920
new,0,Nose,0.9215,0.1771,6.293,22.557,0.0194
new,1,Left_Ear,0.9860,0.0446,7.075,26.229,0.0013
new,2,Right_Ear,0.9683,0.0736,7.111,25.747,0.0015
new,3,Chest,0.9987,0.0200,4.341,15.222,0.0002
new,4,Mid_Back,0.9976,0.0244,4.388,15.905,0.0000
new,5,Hip,0.9956,0.0496,4.649,17.271,0.0019
new,6,LF_Elbow,0.9986,0.0058,5.761,22.809,0.0000
new,7,LF_Paw,0.9931,0.0179,9.685,40.936,0.0000
new,8,RF_Elbow,0.9985,0.0104,5.858,23.466,0.0000
new,9,RF_Paw,0.9844,0.0393,9.762,44.642,0.0003
new,10,LH_Knee,0.9846,0.0718,5.838,22.631,0.0016
new,11,LH_Paw,0.9787,0.0795,10.657,46.257,0.0029
new,12,RH_Knee,0.9932,0.0486,5.995,24.383,0.0019
new,13,RH_Paw,0.9813,0.0716,10.587,46.085,0.0028
new,14,Tail_Root,0.9824,0.0879,5.270,19.195,0.0054
new,15,Tail_Mid,0.9595,0.1362,6.491,21.828,0.0120
new,16,Tail_Tip,0.8379,0.2222,9.216,31.426,0.0362
