Metric,Old,New,Change,Improvement
[PRIMARY] P95 Jitter (px),26.22,27.94,+1.721,-6.56%
Mean Confidence,0.970,0.976,+0.006,+0.66%
Mean Jitter (px),6.77,7.23,+0.459,-6.78%
Missing Ratio,0.4%,0.2%,-0.1%,+37.50%
Nose Missing,3.1%,4.5%,+1.4%,-45.08%
Paw Missing,0.1%,1.0%,+0.9%,-689.63%
Tail Missing,2.5%,1.6%,-0.8%,+33.88%
Tail Tip Missing,5.9%,3.0%,-3.0%,+49.91%
