frame_idx,timestamp_sec,detected,body_scale_px,active_kpts,mean_kpt_conf,displacement_px,activity_value,activity_score,abnormal,behavior_id,behavior_label,gcn_confidence
74,1.480,1,583.82,17,0.9785,6.0020,30,35,1,0,WALK,0.9932
75,1.500,1,583.65,17,0.9848,6.7471,33,35,1,0,WALK,0.9932
76,1.520,1,582.63,17,0.9856,7.3417,36,35,1,0,WALK,0.9884
77,1.540,1,583.65,17,0.9885,6.0799,30,35,1,0,WALK,0.9884
78,1.560,1,593.08,17,0.9867,10.1029,50,35,1,0,WALK,0.9808
79,1.580,1,583.85,17,0.9841,7.7184,38,36,1,0,WALK,0.9808
80,1.600,1,588.86,17,0.9856,10.6553,53,36,1,0,WALK,0.9884
81,1.620,1,587.11,17,0.9869,7.4574,37,36,1,0,WALK,0.9884
82,1.640,1,586.91,17,0.9902,8.4512,42,36,1,0,WALK,0.9909
83,1.660,1,585.36,17,0.9908,5.7977,28,36,1,0,WALK,0.9909
84,1.680,1,589.09,17,0.9901,10.4216,52,36,1,0,WALK,0.9919
85,1.700,1,599.46,17,0.9887,8.6780,43,36,1,0,WALK,0.9919
86,1.720,1,598.02,17,0.9879,6.2953,31,36,1,0,WALK,0.9932
87,1.740,1,602.54,17,0.9870,8.8886,44,36,1,0,WALK,0.9932
88,1.760,1,607.60,17,0.9849,6.9643,34,36,1,0,WALK,0.9968
89,1.780,1,611.67,17,0.9865,6.4504,32,36,1,0,WALK,0.9968
90,1.800,1,614.63,17,0.9900,5.0852,25,36,1,0,WALK,0.9975
91,1.820,1,613.90,17,0.9914,5.9766,29,36,1,0,WALK,0.9975
92,1.840,1,624.31,17,0.9920,9.8423,49,36,1,0,WALK,0.9977
93,1.860,1,620.71,17,0.9917,6.8221,34,36,1,0,WALK,0.9977
94,1.880,1,616.96,17,0.9913,6.4358,32,36,1,0,WALK,0.9967
95,1.900,1,620.07,17,0.9921,6.4979,32,36,1,0,WALK,0.9967
96,1.920,1,619.86,17,0.9907,10.6269,53,36,1,0,WALK,0.9964
97,1.940,1,619.17,17,0.9912,6.7609,33,36,1,0,WALK,0.9964
98,1.960,1,616.49,17,0.9911,6.0723,30,36,1,0,WALK,0.9972
99,1.980,1,614.17,17,0.9899,11.8556,59,36,1,0,WALK,0.9972
100,2.000,1,615.82,17,0.9906,7.6146,38,36,1,0,WALK,0.9951
101,2.020,1,619.05,17,0.9887,7.9034,39,36,1,0,WALK,0.9951
102,2.040,1,621.38,17,0.9884,5.1863,25,36,1,0,WALK,0.9845
103,2.060,1,620.28,17,0.9886,14.8517,74,36,1,0,WALK,0.9845
104,2.080,1,622.23,17,0.9891,6.8819,34,36,1,0,WALK,0.9842
105,2.100,1,625.71,17,0.9881,10.1392,50,37,1,0,WALK,0.9842
106,2.120,1,620.34,17,0.9879,7.6305,38,37,1,0,WALK,0.9819
107,2.140,1,614.09,17,0.9876,7.3192,36,37,1,0,WALK,0.9819
108,2.160,1,613.06,17,0.9893,6.7865,33,37,1,0,WALK,0.9822
109,2.180,1,607.66,17,0.9902,7.9819,39,37,1,0,WALK,0.9822
110,2.200,1,608.30,17,0.9883,4.3928,21,36,1,0,WALK,0.9718
111,2.220,1,606.10,17,0.9894,5.6010,28,36,1,0,WALK,0.9718
112,2.240,1,605.71,17,0.9879,5.6051,28,36,1,0,WALK,0.9569
113,2.260,1,601.77,17,0.9879,6.1728,30,36,1,0,WALK,0.9569
114,2.280,1,596.82,17,0.9900,7.4880,37,36,1,0,WALK,0.9701
115,2.300,1,587.36,17,0.9901,5.9754,29,36,1,0,WALK,0.9701
116,2.320,1,583.77,17,0.9910,6.5230,32,36,1,0,WALK,0.9903
117,2.340,1,578.94,17,0.9933,7.2796,36,36,1,0,WALK,0.9903
118,2.360,1,569.84,17,0.9939,14.7867,73,36,1,0,WALK,0.9970
119,2.380,1,580.04,17,0.9943,9.0870,45,36,1,0,WALK,0.9970
120,2.400,1,572.29,17,0.9942,7.7131,38,36,1,0,WALK,0.9987
121,2.420,1,574.81,17,0.9941,8.4233,42,37,1,0,WALK,0.9987
122,2.440,1,573.73,17,0.9940,8.9239,44,37,1,0,WALK,0.9990
123,2.460,1,568.85,17,0.9933,17.6481,88,37,1,0,WALK,0.9990
124,2.480,1,569.21,17,0.9930,7.2493,36,37,1,0,WALK,0.9993
125,2.500,1,557.15,17,0.9931,7.6489,38,37,1,0,WALK,0.9993
126,2.520,1,550.26,17,0.9931,24.1632,100,38,1,0,WALK,0.9998
127,2.540,1,548.13,17,0.9933,6.4752,32,37,1,0,WALK,0.9998
128,2.560,1,545.65,17,0.9928,6.6085,33,37,1,0,WALK,0.9997
129,2.580,1,540.82,17,0.9902,10.5468,52,38,1,0,WALK,0.9997
130,2.600,1,545.04,17,0.9900,9.8604,49,38,1,0,WALK,0.9998
131,2.620,1,536.79,17,0.9900,10.8587,54,38,1,0,WALK,0.9998
132,2.640,1,540.05,17,0.9897,3.6729,18,38,1,0,WALK,0.9996
133,2.660,1,538.46,17,0.9899,4.5795,22,37,1,0,WALK,0.9996
134,2.680,1,551.81,17,0.9917,11.0936,55,38,1,0,WALK,0.9989
135,2.700,1,564.65,17,0.9918,10.3569,51,38,1,0,WALK,0.9989
136,2.720,1,567.82,17,0.9919,9.5912,47,38,1,0,WALK,0.9984
137,2.740,1,567.25,17,0.9917,7.1130,35,38,1,0,WALK,0.9984
138,2.760,1,565.66,17,0.9913,5.7932,28,38,1,0,WALK,0.9981
139,2.780,1,578.75,17,0.9910,8.3269,41,38,1,0,WALK,0.9981
140,2.800,1,581.73,17,0.9916,7.3018,36,38,1,0,WALK,0.9941
141,2.820,1,589.08,17,0.9901,7.0626,35,38,1,0,WALK,0.9941
142,2.840,1,592.37,17,0.9885,9.2097,46,38,1,0,WALK,0.9737
143,2.860,1,590.47,17,0.9857,11.7103,58,38,1,0,WALK,0.9737
144,2.880,1,602.48,17,0.9898,11.0532,55,38,1,0,WALK,0.9786
145,2.900,1,602.72,17,0.9900,7.8103,39,38,1,0,WALK,0.9786
146,2.920,1,608.64,17,0.9865,12.3632,61,38,1,0,WALK,0.9724
147,2.940,1,624.59,17,0.9842,12.5288,62,38,1,0,WALK,0.9724
148,2.960,1,607.10,17,0.9876,13.5698,67,39,1,0,WALK,0.9903
149,2.980,1,614.55,17,0.9875,9.6539,48,39,1,0,WALK,0.9903
150,3.000,1,621.38,17,0.9878,8.8850,44,39,1,0,WALK,0.9935
151,3.020,1,623.34,17,0.9887,9.2329,46,39,1,0,WALK,0.9935
152,3.040,1,631.24,17,0.9861,8.6662,43,39,1,0,WALK,0.9947
153,3.060,1,624.77,17,0.9820,10.9346,54,39,1,0,WALK,0.9947
154,3.080,1,623.26,17,0.9861,7.5897,37,39,1,0,WALK,0.9968
155,3.100,1,622.22,17,0.9877,7.1072,35,39,1,0,WALK,0.9968
156,3.120,1,628.50,17,0.9886,7.8171,39,40,1,0,WALK,0.9966
157,3.140,1,627.56,17,0.9894,6.5175,32,40,1,0,WALK,0.9966
158,3.160,1,628.02,17,0.9903,7.4693,37,40,1,0,WALK,0.9963
159,3.180,1,629.97,17,0.9895,7.3880,36,40,1,0,WALK,0.9963
160,3.200,1,630.63,17,0.9899,8.4001,42,40,1,0,WALK,0.9973
161,3.220,1,629.27,17,0.9893,10.7540,53,40,1,0,WALK,0.9973
162,3.240,1,622.83,17,0.9895,8.5449,42,40,1,0,WALK,0.9973
163,3.260,1,625.68,17,0.9891,6.7919,33,40,1,0,WALK,0.9973
164,3.280,1,623.60,17,0.9893,6.2379,31,40,1,0,WALK,0.9970
165,3.300,1,611.83,17,0.9884,6.0028,30,40,1,0,WALK,0.9970
166,3.320,1,618.50,17,0.9868,7.7867,38,40,1,0,WALK,0.9964
167,3.340,1,624.44,17,0.9870,7.9562,39,40,1,0,WALK,0.9964
168,3.360,1,621.32,17,0.9878,7.8755,39,40,1,0,WALK,0.9931
169,3.380,1,624.07,17,0.9885,7.5265,37,40,1,0,WALK,0.9931
170,3.400,1,623.30,17,0.9891,9.0505,45,40,1,0,WALK,0.9925
171,3.420,1,618.74,17,0.9886,6.1675,30,40,1,0,WALK,0.9925
172,3.440,1,613.95,17,0.9884,6.1294,30,40,1,0,WALK,0.9933
173,3.460,1,613.70,17,0.9886,5.7341,28,40,1,0,WALK,0.9933
174,3.480,1,609.75,17,0.9881,5.4608,27,40,1,0,WALK,0.9926
175,3.500,1,609.19,17,0.9880,5.4973,27,40,1,0,WALK,0.9926
176,3.520,1,599.46,17,0.9883,6.4834,32,40,1,0,WALK,0.9895
177,3.540,1,601.38,17,0.9885,9.0781,45,40,1,0,WALK,0.9895
178,3.560,1,584.77,17,0.9886,14.5318,72,40,1,0,WALK,0.9946
179,3.580,1,588.46,17,0.9881,12.5998,62,40,1,0,WALK,0.9946
180,3.600,1,583.20,17,0.9896,7.8138,39,40,1,0,WALK,0.9982
181,3.620,1,590.51,17,0.9892,6.1940,30,40,1,0,WALK,0.9982
182,3.640,1,581.25,17,0.9910,8.4376,42,40,1,0,WALK,0.9987
183,3.660,1,573.02,17,0.9906,7.5644,37,40,1,0,WALK,0.9987
184,3.680,1,562.70,17,0.9903,6.5187,32,40,1,0,WALK,0.9989
185,3.700,1,557.67,17,0.9902,8.4359,42,40,1,0,WALK,0.9989
186,3.720,1,544.92,17,0.9885,10.7665,53,40,1,0,WALK,0.9991
187,3.740,1,547.15,17,0.9870,5.3027,26,40,1,0,WALK,0.9991
188,3.760,1,533.46,17,0.9879,21.8338,100,41,1,0,WALK,0.9995
189,3.780,1,533.96,17,0.9877,5.5393,27,41,1,0,WALK,0.9995
190,3.800,1,532.62,17,0.9875,7.1297,35,41,1,0,WALK,0.9995
191,3.820,1,527.36,17,0.9858,6.3791,31,41,1,0,WALK,0.9995
